source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Forbes'}","Jason Kirsch, CFP(R), Contributor, 
 Jason Kirsch, CFP(R), Contributor
 https://www.forbes.com/sites/investor-hub/people/Jason-Kirsch/",Nvidia Earnings: What To Know About The Stock Before The Upcoming Report,Preparing for Nvidia's earnings? Explore important information about the stock's performance and upcoming report.,https://www.forbes.com/sites/investor-hub/article/nvidia-earnings-what-to-know-stock-report-q1-2025/,https://imageio.forbes.com/specials-images/imageserve/67ae373a4b87d8b5e5a3e98c/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2025-02-15T18:00:00Z,"While recent developments have introduced some uncertainty, the fundamental drivers of Nvidia's ... [+] growth remain robust.
NurPhoto via Getty Images
As the worlds largest semiconductor company p… [+9500 chars]"
"{'id': None, 'name': 'CoinDesk'}",Francisco Rodrigues,Gold-backed Tokens Underperform While Wall Street Calls for Dip Buying in Precious Metal,Gold’s price dropped while risk assets rose amid speculation Trump’s reciprocal tariffs are no more than a negotiating tool.,https://www.coindesk.com/markets/2025/02/15/gold-backed-tokens-underperform-while-wall-street-calls-for-dip-buying-in-precious-metal,https://cdn.sanity.io/images/s3y3vcno/production/f90caaf4b82ef4b0227b9980c47eb796e7e87c0a-1920x1280.jpg?auto=format,2025-02-15T17:57:31Z,Cryptocurrencies backed by gold have underperformed over the week as the price of the precious metal saw a significant drop after moving up more than 10% so far this year. The decline came as specula… [+1467 chars]
"{'id': None, 'name': 'The Daily Hodl'}",Conor Devitt,"Banking Giant Barclays Owns $136,834,631 Worth of BlackRock’s Bitcoin Exchange-Traded Fund","The multinational banking giant Barclays holds nearly $137 million worth of BlackRock’s iShares Bitcoin exchange-traded fund (ETF). The London-headquartered bank disclosed it holds 2,473,064 shares of BlackRock’s IBIT fund in a recent quarterly filing submitt…",https://dailyhodl.com/2025/02/15/banking-giant-barclays-owns-136834631-worth-of-blackrocks-bitcoin-exchange-traded-fund/,https://dailyhodl.com/wp-content/uploads/2025/02/banking-giant-owns.jpg,2025-02-15T17:55:29Z,"The multinational banking giant Barclays holds nearly $137 million worth of BlackRock’s iShares Bitcoin exchange-traded fund (ETF).
The London-headquartered bank disclosed it holds 2,473,064 shares … [+1482 chars]"
"{'id': None, 'name': 'ZyCrypto'}",Brenda Ngari,State Of Wisconsin Goes All-In On BlackRock’s Bitcoin ETF With $335 Million Investment,The State of Wisconsin Investment Board (SWIB) has significantly added to its Bitcoin bet by purchasing more shares in a popular crypto ETF.,https://zycrypto.com/state-of-wisconsin-goes-all-in-on-blackrocks-bitcoin-etf-with-335-million-investment/,https://zycrypto.com/wp-content/uploads/2023/06/Theres-A-50-Chance-BlackRocks-Spot-Bitcoin-ETF-Gets-Greenlight-From-SEC-Top-Bloomberg-Analyst-Predicts.jpg,2025-02-15T17:45:51Z,The State of Wisconsin Investment Board (SWIB) has significantly added to its Bitcoin bet by purchasing more shares in a popular crypto exchange-traded fund (ETF). SWIB doubled its holdings in BlackR… [+2004 chars]
"{'id': None, 'name': 'Biztoc.com'}",aol.com,I’m in my late 30’s and I have $15 million in cryptocurrency – can I confidently quit my job and be ok?,"Key Points
A Reddit user with $15 million in crypto is wondering if he can leave his job.
His investments are volatile, as he admitted he used to have $50 million on paper.
Reallocating his assets could allow him to retire without major financial worries.
A R…",https://biztoc.com/x/60d6f889a3f04040,https://biztoc.com/cdn/809/og.png,2025-02-15T17:40:44Z,"Key PointsA Reddit user with $15 million in crypto is wondering if he can leave his job.His investments are volatile, as he admitted he used to have $50 million on paper.Reallocating his assets could… [+145 chars]"
"{'id': None, 'name': 'newsBTC'}",Semilore Faleti,NEAR Breaks Below Parallel Channel: Key Levels To Watch,"Near Protocol (NEAR) has registered a significant price loss in the past 24 hours. Following this decline, renowned crypto analyst Ali Martinez has identified certain price levels critical to a potential recovery. Related Reading: Ethereum Indicator Flashes B…",http://www.newsbtc.com/news/near-protocol/near-breaks-below-parallel-channel-key-levels-to-watch/,https://www.newsbtc.com/wp-content/uploads/2025/02/istockphoto-1409383663-612x612-1.jpg?fit=900%2C505,2025-02-16T16:30:23Z,"Semilore Faleti is a cryptocurrency writer specialized in the field of journalism and content creation. While he started out writing on several subjects, Semilore soon found a knack for cracking down… [+3189 chars]"
"{'id': None, 'name': 'Decrypt'}",André Beganski,Coinbase Targets USDT Stablecoin Rival Tether With an $86 Billion 'Stretch Goal' for USDC,"Coinbase CEO Brian Armstrong said the firm aims to challenge Tether’s position as the reigning stablecoin issuer by making USDC “number one.""",https://decrypt.co/306070/coinbase-targets-tether-86-billion-stretch-goal,https://cdn.decrypt.co/resize/1024/height/512/wp-content/uploads/2021/04/brian-armstrong-coinbase-ceo-gID_7.jpg,2025-02-16T15:40:50Z,"Coinbase CEO Brian Armstrong said Thursday that the crypto heavyweight is taking off its gloves for a renewed fight in the stablecoin ring.
During the companys fourth-quarter earnings call, Armstron… [+6423 chars]"
"{'id': None, 'name': 'Securityaffairs.com'}",Pierluigi Paganini,Storm-2372 used the device code phishing technique since August 2024,"Russia-linked group Storm-2372 used the device code phishing technique since Aug 2024 to steal login tokens from governments, NGOs, and industries. Microsoft Threat Intelligence researchers warn that threat actor Storm-2372, likely linked to Russia, has been …",https://securityaffairs.com/174270/apt/storm-2372-used-device-code-phishing-technique.html,https://securityaffairs.com/wp-content/uploads/2025/02/image-24.png,2025-02-16T14:29:43Z,"Storm-2372 used the device code phishing technique since August 2024
 | SECURITY AFFAIRS MALWARE NEWSLETTER ROUND 33
 | Security Affairs newsletter Round 511 by Pierluigi Paganini INTERNATIONAL EDI… [+139946 chars]"
"{'id': None, 'name': 'Decrypt'}",Jason Nelson,What Are AI Agents? How Autonomous Programs are Transforming Crypto,"AI agents are reshaping cryptocurrency with smart automation, fraud detection, and optimized trading.",https://decrypt.co/resources/what-are-ai-agents-how-autonomous-programs-are-transforming-cryptocurrency,https://cdn.decrypt.co/resize/1024/height/512/wp-content/uploads/2025/02/ai-robot-gID_1-pID_1.png,2025-02-16T14:01:02Z,"AI agents are becoming increasingly popular in blockchain and cryptocurrency, driving trading, security, and smart contract analysis automation. These intelligent systems also have the potential to e… [+8117 chars]"
"{'id': None, 'name': 'ZyCrypto'}",Guest Author,XYZVERSE Meme Coin Could Be the Next 1000x Winner Over SHIB & DOGE,"Fans of Shiba Inu and Dogecoin may have a new token to keep an eye on. A fresh meme coin is making waves, hinting at immense growth potential. Early signs point to it following the path of previous successes. This introduction delves into what makes this coin…",https://zycrypto.com/xyzverse-meme-coin-could-be-the-next-1000x-winner-over-shib-doge/,https://zycrypto.com/wp-content/uploads/2025/02/Why-XYZVERSE-Token-Could-Crush-DOGE-SHIB-in-the-Next-Bull-Run.jpg,2025-02-16T13:59:29Z,"Disclaimer: The below article is sponsored, and the views in it do not represent those of ZyCrypto. Readers should conduct independent research before taking any actions related to the project mentio… [+6172 chars]"
"{'id': None, 'name': 'ZyCrypto'}",Guest Author,Trump’s ETF Could Rocket SOL—But XYZVerse Underdog Crypto Might Outpace them,"The introduction of a new ETF linked to Trump may boost major cryptocurrencies like SOL. Yet, a less prominent crypto could outperform them. This article delves into how the ETF might influence the market and uncovers the potential of this rising digital curr…",https://zycrypto.com/trumps-etf-could-rocket-sol-but-xyzverse-underdog-crypto-might-outpace-them/,https://zycrypto.com/wp-content/uploads/2025/01/XYZVERSE-Memecoin-Poised-For-Greater-Potemtial-as-Ethereum-May-Not-Deliver-in-2025.jpg,2025-02-16T13:56:55Z,"Disclaimer: The below article is sponsored, and the views in it do not represent those of ZyCrypto. Readers should conduct independent research before taking any actions related to the project mentio… [+3772 chars]"
"{'id': None, 'name': 'ZyCrypto'}",Guest Author,"DOGEN Meme Token Tops 5 Low-Cap Coins With Insane 20,000% Potential in the Next Market Surge","As the cryptocurrency market anticipates its next significant upswing, attention is turning to overlooked coins with remarkable growth potential. These hidden gems, often flying under the radar, could offer unprecedented returns. This article delves into five…",https://zycrypto.com/dogen-meme-token-tops-5-low-cap-coins-with-insane-20000-potential-in-the-next-market-surge/,https://zycrypto.com/wp-content/uploads/2025/02/DOGEN-Tops-5-Meme-Tokens-Could-Flip-SHIB-DOGE-in-the-Next-Bull-Run.jpg,2025-02-16T13:51:37Z,"Disclaimer: The below article is sponsored, and the views in it do not represent those of ZyCrypto. Readers should conduct independent research before taking any actions related to the project mentio… [+6294 chars]"
"{'id': None, 'name': 'ZyCrypto'}",Guest Author,Coldware (COLD) and Kaspa (KAS): Here’s Why This New Crypto Spiked 600%,"Coldware (COLD) is emerging as one of the most promising Layer-1 decentralized networks, integrating IoT technology, Web3 mobile solutions, and real-world tokenization. Unlike traditional blockchains that focus solely on smart contracts or DeFi applications, …",https://zycrypto.com/coldware-cold-and-kaspa-kas-heres-why-this-new-crypto-spiked-600/,https://zycrypto.com/wp-content/uploads/2025/02/Coldware-COLD-and-Kaspa-KAS-Heres-Why-This-New-Crypto-Spiked-600.jpg,2025-02-16T13:23:37Z,"Disclaimer: The below article is sponsored, and the views in it do not represent those of ZyCrypto. Readers should conduct independent research before taking any actions related to the project mentio… [+4644 chars]"
"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"GameStop-Linked Crypto Soars, Trump-Backed Project Bolsters Bitcoin, And More: This Week In Crypto","The week was a rollercoaster ride in the world of cryptocurrencies. From GameStop-themed crypto rallying to a Trump-backed project bolstering Bitcoin and Ethereum, the crypto market was buzzing with activity. Here’s a quick round-up of the top stories.
GameSt…",https://biztoc.com/x/0df8b2099ef270e0,https://biztoc.com/cdn/0df8b2099ef270e0_s.webp,2025-02-16T13:04:49Z,"The week was a rollercoaster ride in the world of cryptocurrencies. From GameStop-themed crypto rallying to a Trump-backed project bolstering Bitcoin and Ethereum, the crypto market was buzzing with … [+132 chars]"
"{'id': None, 'name': 'Ambcrypto.com'}",Akashnath S,Ethereum faces key $2.8K resistance – Can ETH bulls push through?,"An Ethereum move to $2,880 might turn out to be a bull trap before a bearish reversal occurs.",https://ambcrypto.com/ethereum-faces-key-2-8k-resistance-can-eth-bulls-push-through/,https://ambcrypto.com/wp-content/uploads/2025/02/Ethereum-Featured-2-1000x600.webp,2025-02-16T13:00:14Z,"<ul><li>Ethereum maintained its bearish market structure.</li><li>Liquidation levels indicated a potential price bounce to $2,880.</li></ul>Ethereum [ETH] has fallen below the $2.8k zone, which had p… [+2124 chars]"
"{'id': None, 'name': 'Biztoc.com'}",aol.com,"Got $1,500? Invest in This 1 Trend With Ethereum and Solana","While most investors consider competition to be something that's relevant for companies, it's relevant for cryptocurrencies, too, even leaders like Solana (CRYPTO: SOL) and the second-largest cryptocurrency, Ethereum (CRYPTO: ETH). In fact, the rivalry betwee…",https://biztoc.com/x/9b3d29291bed5e33,https://biztoc.com/cdn/809/og.png,2025-02-16T12:53:55Z,"While most investors consider competition to be something that's relevant for companies, it's relevant for cryptocurrencies, too, even leaders like Solana (CRYPTO: SOL) and the second-largest cryptoc… [+149 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",,"Got $1,500? Invest in This 1 Trend With Ethereum and Solana.",,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_b8e031b8-c8e2-42d2-9432-c55a7b0be742,,2025-02-16T12:10:00Z,"If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]"
"{'id': None, 'name': 'Bitcoinist'}",Anya Zhukova,Meme Coin Mania: Broccoli’s $5M Whale and the Next Potential 100x Presales,"The meme coin world is full of surprises, and the latest one to capture attention is Broccoli.  This unofficial token was inspired by a tweet from Binance’s CZ, where he shared pictures of his Belgian Malinois dog and revealed its name: Broccoli.  While CZ ma…",https://bitcoinist.com/meme-coin-mania-broccolis-5m-whale-and-the-next-potential-100x-presales/,https://bitcoinist.com/wp-content/uploads/2025/02/meme-coin-mania-broccolis-5m-whale-and-the-next-potential-100x-presales.png,2025-02-16T11:51:29Z,"The meme coin world is full of surprises, and the latest one to capture attention is Broccoli. 
This unofficial token was inspired by a tweet from Binances CZ, where he shared pictures of his Belgia… [+5023 chars]"
